Date,Day,USEPUINDXD
01/12/2017,Fri,86.95
02/12/2017,Sat,93.82
03/12/2017,Sun,87.52
04/12/2017,Mon,101.07
05/12/2017,Tue,95.44
06/12/2017,Wed,57.79
07/12/2017,Thu,40.69
08/12/2017,Fri,63.52
09/12/2017,Sat,129.89
10/12/2017,Sun,87.45
11/12/2017,Mon,81.46
12/12/2017,Tue,66.43
13/12/2017,Wed,52.01
14/12/2017,Thu,32.59
15/12/2017,Fri,104.84
16/12/2017,Sat,95.65
17/12/2017,Sun,141.38
18/12/2017,Mon,94.77
19/12/2017,Tue,82.4
20/12/2017,Wed,57.2
21/12/2017,Thu,92.94
22/12/2017,Fri,72.69
23/12/2017,Sat,133.94
24/12/2017,Sun,158.85
25/12/2017,Mon,101.81
26/12/2017,Tue,106.31
27/12/2017,Wed,58.44
28/12/2017,Thu,63.24
29/12/2017,Fri,146.43
30/12/2017,Sat,45.33
31/12/2017,Sun,174.9
01/01/2018,Mon,178.3
02/01/2018,Tue,111.2
03/01/2018,Wed,52.45
04/01/2018,Thu,243.48
05/01/2018,Fri,108.68
06/01/2018,Sat,83.81
07/01/2018,Sun,164.82
08/01/2018,Mon,77.28
09/01/2018,Tue,157.58
10/01/2018,Wed,89.18
11/01/2018,Thu,111.72
12/01/2018,Fri,107.69
13/01/2018,Sat,171.33
14/01/2018,Sun,176.99
15/01/2018,Mon,272.42
16/01/2018,Tue,61.57
17/01/2018,Wed,61.83
18/01/2018,Thu,115.86
19/01/2018,Fri,88.34
20/01/2018,Sat,85.4
21/01/2018,Sun,132.01
22/01/2018,Mon,110.72
23/01/2018,Tue,74.52
24/01/2018,Wed,93.27
25/01/2018,Thu,77.97
26/01/2018,Fri,110
27/01/2018,Sat,109.21
28/01/2018,Sun,105.65
29/01/2018,Mon,85.23
30/01/2018,Tue,68.45
31/01/2018,Wed,71.84
01/02/2018,Thu,49.78
02/02/2018,Fri,61.2
03/02/2018,Sat,44
04/02/2018,Sun,145.1
05/02/2018,Mon,145.79
06/02/2018,Tue,92.59
07/02/2018,Wed,58.29
08/02/2018,Thu,89.29
09/02/2018,Fri,82.68
10/02/2018,Sat,138.06
11/02/2018,Sun,145.19
12/02/2018,Mon,80.89
13/02/2018,Tue,104.55
14/02/2018,Wed,107.01
15/02/2018,Thu,88.63
16/02/2018,Fri,80.52
17/02/2018,Sat,63.93
18/02/2018,Sun,103.24
19/02/2018,Mon,53.44
20/02/2018,Tue,80.15
21/02/2018,Wed,95.81
22/02/2018,Thu,50.25
23/02/2018,Fri,55.72
24/02/2018,Sat,42.18
25/02/2018,Sun,126.87
26/02/2018,Mon,68.6
27/02/2018,Tue,52.64
28/02/2018,Wed,46.68
01/03/2018,Thu,69.3
02/03/2018,Fri,39.63
03/03/2018,Sat,34.62
04/03/2018,Sun,98.68
05/03/2018,Mon,148.37
06/03/2018,Tue,133.87
07/03/2018,Wed,87.33
08/03/2018,Thu,57
09/03/2018,Fri,132.57
10/03/2018,Sat,67.61
11/03/2018,Sun,170.78
12/03/2018,Mon,107.4
13/03/2018,Tue,54.85
14/03/2018,Wed,79.61
15/03/2018,Thu,43.98
16/03/2018,Fri,110.96
17/03/2018,Sat,132.51
18/03/2018,Sun,83.03
19/03/2018,Mon,74.64
20/03/2018,Tue,79.32
21/03/2018,Wed,55.83
22/03/2018,Thu,57.36
23/03/2018,Fri,66.64
24/03/2018,Sat,53.2
25/03/2018,Sun,61.37
26/03/2018,Mon,89.77
27/03/2018,Tue,22.48
28/03/2018,Wed,26.48
29/03/2018,Thu,16.75
30/03/2018,Fri,44.07
31/03/2018,Sat,67.64
01/04/2018,Sun,111.65
02/04/2018,Mon,167.71
03/04/2018,Tue,88.73
04/04/2018,Wed,52.9
05/04/2018,Thu,109.08
06/04/2018,Fri,70.62
07/04/2018,Sat,106.96
08/04/2018,Sun,151.12
09/04/2018,Mon,275.14
10/04/2018,Tue,56.17
11/04/2018,Wed,79.88
12/04/2018,Thu,190.11
13/04/2018,Fri,141.34
14/04/2018,Sat,71.29
15/04/2018,Sun,84.7
16/04/2018,Mon,65.26
17/04/2018,Tue,65.55
18/04/2018,Wed,71.44
19/04/2018,Thu,46.61
20/04/2018,Fri,47.54
21/04/2018,Sat,19.59
22/04/2018,Sun,70.06
23/04/2018,Mon,66.91
24/04/2018,Tue,35.09
25/04/2018,Wed,108.69
26/04/2018,Thu,68.42
27/04/2018,Fri,25.82
28/04/2018,Sat,57.83
29/04/2018,Sun,65
30/04/2018,Mon,86.67
01/05/2018,Tue,101.87
02/05/2018,Wed,95.92
03/05/2018,Thu,57.16
04/05/2018,Fri,38.51
05/05/2018,Sat,175.19
06/05/2018,Sun,122.37
07/05/2018,Mon,96.74
08/05/2018,Tue,100.02
09/05/2018,Wed,62.2
10/05/2018,Thu,74.02
11/05/2018,Fri,78.27
12/05/2018,Sat,115.07
13/05/2018,Sun,71.37
14/05/2018,Mon,127.21
15/05/2018,Tue,42.73
16/05/2018,Wed,50.06
17/05/2018,Thu,74.49
18/05/2018,Fri,129.32
19/05/2018,Sat,118.29
20/05/2018,Sun,57.04
21/05/2018,Mon,87.84
22/05/2018,Tue,92.17
23/05/2018,Wed,171.23
24/05/2018,Thu,48.9
25/05/2018,Fri,102.1
26/05/2018,Sat,45.88
27/05/2018,Sun,75.5
28/05/2018,Mon,49.45
29/05/2018,Tue,50.44
30/05/2018,Wed,135.21
31/05/2018,Thu,77.32
01/06/2018,Fri,109.62
02/06/2018,Sat,110.85
03/06/2018,Sun,56.64
04/06/2018,Mon,80.79
05/06/2018,Tue,36.31
06/06/2018,Wed,37.98
07/06/2018,Thu,55.99
08/06/2018,Fri,112.51
09/06/2018,Sat,152.77
10/06/2018,Sun,170.95
11/06/2018,Mon,138.36
12/06/2018,Tue,235.59
13/06/2018,Wed,137.07
14/06/2018,Thu,96.72
15/06/2018,Fri,68.71
16/06/2018,Sat,82.17
17/06/2018,Sun,105.3
18/06/2018,Mon,79.32
19/06/2018,Tue,165.86
20/06/2018,Wed,222.05
21/06/2018,Thu,71.67
22/06/2018,Fri,80.35
23/06/2018,Sat,40.76
24/06/2018,Sun,85.36
25/06/2018,Mon,63.53
26/06/2018,Tue,218.91
27/06/2018,Wed,39.58
28/06/2018,Thu,89.28
29/06/2018,Fri,54.02
30/06/2018,Sat,114.66
01/07/2018,Sun,136.2
02/07/2018,Mon,80.26
03/07/2018,Tue,119.73
04/07/2018,Wed,87.2
05/07/2018,Thu,80.07
06/07/2018,Fri,184.49
07/07/2018,Sat,121.36
08/07/2018,Sun,164.84
09/07/2018,Mon,110.48
10/07/2018,Tue,81.98
11/07/2018,Wed,40.76
12/07/2018,Thu,84.92
13/07/2018,Fri,74.75
14/07/2018,Sat,54.33
15/07/2018,Sun,146.72
16/07/2018,Mon,89.31
17/07/2018,Tue,58.55
18/07/2018,Wed,75.12
19/07/2018,Thu,55.33
20/07/2018,Fri,132.11
21/07/2018,Sat,108.3
22/07/2018,Sun,156.61
23/07/2018,Mon,78.59
24/07/2018,Tue,77.37
25/07/2018,Wed,57.92
26/07/2018,Thu,104.65
27/07/2018,Fri,61.47
28/07/2018,Sat,99.78
29/07/2018,Sun,117.4
30/07/2018,Mon,153.38
31/07/2018,Tue,91.35
01/08/2018,Wed,57.71
02/08/2018,Thu,117.93
03/08/2018,Fri,87.73
04/08/2018,Sat,107.88
05/08/2018,Sun,141.99
06/08/2018,Mon,112.91
07/08/2018,Tue,72.24
08/08/2018,Wed,56.98
09/08/2018,Thu,69.96
10/08/2018,Fri,76.97
11/08/2018,Sat,44.22
12/08/2018,Sun,109.73
13/08/2018,Mon,88.52
14/08/2018,Tue,55.18
15/08/2018,Wed,20.08
16/08/2018,Thu,30.89
17/08/2018,Fri,62.36
18/08/2018,Sat,96.63
19/08/2018,Sun,96.59
20/08/2018,Mon,45.18
21/08/2018,Tue,81.92
22/08/2018,Wed,38.52
23/08/2018,Thu,89.75
24/08/2018,Fri,80.33
25/08/2018,Sat,139.94
26/08/2018,Sun,96.04
27/08/2018,Mon,108.44
28/08/2018,Tue,165.65
29/08/2018,Wed,92.96
30/08/2018,Thu,90.46
31/08/2018,Fri,121.46
01/09/2018,Sat,46.12
02/09/2018,Sun,98.8
03/09/2018,Mon,115.11
04/09/2018,Tue,74.36
05/09/2018,Wed,37.66
06/09/2018,Thu,68.5
07/09/2018,Fri,67.9
08/09/2018,Sat,89.41
09/09/2018,Sun,92.74
10/09/2018,Mon,47.25
11/09/2018,Tue,49.37
12/09/2018,Wed,40.31
13/09/2018,Thu,29.73
14/09/2018,Fri,36.1
15/09/2018,Sat,62.01
16/09/2018,Sun,103.72
17/09/2018,Mon,100.71
18/09/2018,Tue,71.72
19/09/2018,Wed,74.06
20/09/2018,Thu,54.24
21/09/2018,Fri,88.17
22/09/2018,Sat,74.22
23/09/2018,Sun,124.25
24/09/2018,Mon,89.13
25/09/2018,Tue,55.65
26/09/2018,Wed,37.16
27/09/2018,Thu,22.95
28/09/2018,Fri,52.38
29/09/2018,Sat,33.38
30/09/2018,Sun,83.77
01/10/2018,Mon,166.69
02/10/2018,Tue,130.93
03/10/2018,Wed,107.49
04/10/2018,Thu,119.36
05/10/2018,Fri,66.64
06/10/2018,Sat,66.47
07/10/2018,Sun,197.77
08/10/2018,Mon,112.49
09/10/2018,Tue,31.39
10/10/2018,Wed,58.99
11/10/2018,Thu,68.38
12/10/2018,Fri,103.11
13/10/2018,Sat,70.22
14/10/2018,Sun,92.58
15/10/2018,Mon,85.8
16/10/2018,Tue,109.71
17/10/2018,Wed,77.94
18/10/2018,Thu,100.13
19/10/2018,Fri,70.3
20/10/2018,Sat,61.88
21/10/2018,Sun,118.94
22/10/2018,Mon,89.49
23/10/2018,Tue,52.04
24/10/2018,Wed,73.6
25/10/2018,Thu,89.53
26/10/2018,Fri,65.53
27/10/2018,Sat,79.2
28/10/2018,Sun,136.61
29/10/2018,Mon,64.23
30/10/2018,Tue,51.28
31/10/2018,Wed,79.07
01/11/2018,Thu,84.17
02/11/2018,Fri,82.99
03/11/2018,Sat,77.39
04/11/2018,Sun,223.53
05/11/2018,Mon,90.47
06/11/2018,Tue,148.95
07/11/2018,Wed,61.17
08/11/2018,Thu,51.63
09/11/2018,Fri,41.01
10/11/2018,Sat,54.44
11/11/2018,Sun,64.34
12/11/2018,Mon,42.33
13/11/2018,Tue,64.87
14/11/2018,Wed,53.94
15/11/2018,Thu,55.04
16/11/2018,Fri,30.47
17/11/2018,Sat,34.95
18/11/2018,Sun,90.25
19/11/2018,Mon,10.92
20/11/2018,Tue,29.26
21/11/2018,Wed,46.86
22/11/2018,Thu,21.81
23/11/2018,Fri,24.17
24/11/2018,Sat,49.06
25/11/2018,Sun,168.06
26/11/2018,Mon,168.44
27/11/2018,Tue,93.08
28/11/2018,Wed,100.92
29/11/2018,Thu,183.21
30/11/2018,Fri,136.43
01/12/2018,Sat,142.31
02/12/2018,Sun,167.46
03/12/2018,Mon,158.49
04/12/2018,Tue,109.29
05/12/2018,Wed,83.26
06/12/2018,Thu,110.19
07/12/2018,Fri,101.45
08/12/2018,Sat,123.21
09/12/2018,Sun,130.49
10/12/2018,Mon,71.08
11/12/2018,Tue,88.44
12/12/2018,Wed,57.97
13/12/2018,Thu,121.67
14/12/2018,Fri,86.56
15/12/2018,Sat,90.26
16/12/2018,Sun,186.66
17/12/2018,Mon,101.75
18/12/2018,Tue,103.24
19/12/2018,Wed,114.17
20/12/2018,Thu,79.38
21/12/2018,Fri,144.91
22/12/2018,Sat,10.92
23/12/2018,Sun,261.36
24/12/2018,Mon,141.79
25/12/2018,Tue,171.11
26/12/2018,Wed,198.19
27/12/2018,Thu,161.1
28/12/2018,Fri,156.65
29/12/2018,Sat,116.81
30/12/2018,Sun,213.53
31/12/2018,Mon,149.82
01/01/2019,Tue,204.03
02/01/2019,Wed,146.97
03/01/2019,Thu,212.58
04/01/2019,Fri,153.15
05/01/2019,Sat,4.7
06/01/2019,Sun,230.39
07/01/2019,Mon,148.61
08/01/2019,Tue,259.25
09/01/2019,Wed,120.42
10/01/2019,Thu,148.84
11/01/2019,Fri,170.68
12/01/2019,Sat,175.61
13/01/2019,Sun,120.96
14/01/2019,Mon,223.58
15/01/2019,Tue,104.39
16/01/2019,Wed,173.46
17/01/2019,Thu,168.92
18/01/2019,Fri,154.17
19/01/2019,Sat,109
20/01/2019,Sun,178.48
21/01/2019,Mon,216.29
22/01/2019,Tue,107.95
23/01/2019,Wed,88.26
24/01/2019,Thu,106.06
25/01/2019,Fri,105.17
26/01/2019,Sat,107.16
27/01/2019,Sun,218.94
28/01/2019,Mon,73.71
29/01/2019,Tue,62.53
30/01/2019,Wed,123.71
31/01/2019,Thu,126.24
01/02/2019,Fri,95.81
02/02/2019,Sat,82.06
03/02/2019,Sun,134.38
04/02/2019,Mon,216.31
05/02/2019,Tue,87.75
06/02/2019,Wed,145.25
07/02/2019,Thu,93.79
08/02/2019,Fri,76.81
09/02/2019,Sat,49.63
10/02/2019,Sun,95.37
11/02/2019,Mon,59.53
12/02/2019,Tue,45.91
13/02/2019,Wed,93.01
14/02/2019,Thu,35.99
15/02/2019,Fri,55.54
16/02/2019,Sat,27.08
17/02/2019,Sun,10.92
18/02/2019,Mon,57.35
19/02/2019,Tue,79.79
20/02/2019,Wed,65.36
21/02/2019,Thu,87.44
22/02/2019,Fri,115.34
23/02/2019,Sat,93.12
24/02/2019,Sun,4.05
25/02/2019,Mon,84.03
26/02/2019,Tue,68.54
27/02/2019,Wed,128.81
28/02/2019,Thu,125.24
01/03/2019,Fri,110.76
02/03/2019,Sat,118.68
03/03/2019,Sun,101.11
04/03/2019,Mon,71.01
05/03/2019,Tue,138.38
06/03/2019,Wed,78.64
07/03/2019,Thu,138.86
08/03/2019,Fri,81.81
09/03/2019,Sat,67.73
10/03/2019,Sun,138.96
11/03/2019,Mon,161.35
12/03/2019,Tue,93.23
13/03/2019,Wed,81.38
14/03/2019,Thu,56.33
15/03/2019,Fri,66.48
16/03/2019,Sat,65.37
17/03/2019,Sun,101.36
18/03/2019,Mon,77.23
19/03/2019,Tue,82.83
20/03/2019,Wed,75.89
21/03/2019,Thu,91.17
22/03/2019,Fri,83.99
23/03/2019,Sat,102.4
24/03/2019,Sun,127.53
25/03/2019,Mon,69.27
26/03/2019,Tue,78.28
27/03/2019,Wed,92.66
28/03/2019,Thu,53.74
29/03/2019,Fri,91.25
30/03/2019,Sat,101.92
31/03/2019,Sun,134.75
01/04/2019,Mon,117.34
02/04/2019,Tue,130.56
03/04/2019,Wed,81.95
04/04/2019,Thu,82.78
05/04/2019,Fri,50.15
06/04/2019,Sat,108.22
07/04/2019,Sun,127.54
08/04/2019,Mon,58.07
09/04/2019,Tue,60.19
10/04/2019,Wed,71.78
11/04/2019,Thu,54.57
12/04/2019,Fri,75.79
13/04/2019,Sat,66.73
14/04/2019,Sun,161.23
15/04/2019,Mon,76.25
16/04/2019,Tue,58.1
17/04/2019,Wed,63.24
18/04/2019,Thu,56.96
19/04/2019,Fri,48.34
20/04/2019,Sat,52.37
21/04/2019,Sun,83.39
22/04/2019,Mon,78.68
23/04/2019,Tue,56.96
24/04/2019,Wed,60.14
25/04/2019,Thu,76.31
26/04/2019,Fri,67.89
27/04/2019,Sat,56.25
28/04/2019,Sun,107.52
29/04/2019,Mon,97.53
30/04/2019,Tue,75.34
01/05/2019,Wed,112.75
02/05/2019,Thu,30.2
03/05/2019,Fri,57.65
04/05/2019,Sat,71.39
05/05/2019,Sun,98.38
06/05/2019,Mon,93.78
07/05/2019,Tue,111.09
08/05/2019,Wed,101.81
09/05/2019,Thu,67.46
10/05/2019,Fri,108.12
11/05/2019,Sat,46.84
12/05/2019,Sun,155.26
13/05/2019,Mon,94.65
14/05/2019,Tue,126.65
15/05/2019,Wed,132.3
16/05/2019,Thu,94.72
17/05/2019,Fri,117.89
18/05/2019,Sat,95.04
19/05/2019,Sun,95.86
20/05/2019,Mon,95.08
21/05/2019,Tue,73.8
22/05/2019,Wed,69.8
23/05/2019,Thu,71.04
24/05/2019,Fri,144.24
25/05/2019,Sat,151.55
26/05/2019,Sun,138.34
27/05/2019,Mon,102.04
28/05/2019,Tue,69.48
29/05/2019,Wed,55.62
30/05/2019,Thu,50.84
31/05/2019,Fri,94.35
01/06/2019,Sat,97.55
02/06/2019,Sun,159.79
03/06/2019,Mon,72.86
04/06/2019,Tue,120.06
05/06/2019,Wed,217.51
06/06/2019,Thu,137.43
07/06/2019,Fri,242.25
08/06/2019,Sat,139.29
09/06/2019,Sun,174.61
10/06/2019,Mon,162.1
11/06/2019,Tue,130.24
12/06/2019,Wed,116.03
13/06/2019,Thu,143.87
14/06/2019,Fri,145.07
15/06/2019,Sat,175.49
16/06/2019,Sun,198.5
17/06/2019,Mon,82.16
18/06/2019,Tue,146.35
19/06/2019,Wed,77.89
20/06/2019,Thu,116.67
21/06/2019,Fri,178.92
22/06/2019,Sat,127.09
23/06/2019,Sun,245.77
24/06/2019,Mon,92.75
25/06/2019,Tue,74.19
26/06/2019,Wed,142.51
27/06/2019,Thu,64.08
28/06/2019,Fri,129.48
29/06/2019,Sat,96.2
30/06/2019,Sun,114.41
01/07/2019,Mon,174.62
02/07/2019,Tue,144.12
03/07/2019,Wed,126.27
04/07/2019,Thu,96.84
05/07/2019,Fri,72.83
06/07/2019,Sat,93.29
07/07/2019,Sun,180.55
08/07/2019,Mon,72.06
09/07/2019,Tue,40.14
10/07/2019,Wed,45.62
11/07/2019,Thu,103.84
12/07/2019,Fri,72.49
13/07/2019,Sat,126.95
14/07/2019,Sun,58.43
15/07/2019,Mon,72.19
16/07/2019,Tue,53.41
17/07/2019,Wed,77.06
18/07/2019,Thu,61.63
19/07/2019,Fri,61.84
20/07/2019,Sat,28.88
21/07/2019,Sun,112.14
22/07/2019,Mon,75.32
23/07/2019,Tue,114.24
24/07/2019,Wed,79.72
25/07/2019,Thu,40.68
26/07/2019,Fri,116.11
